word,frequency
patient,2
hospit,2
hospitalis,2
countri,1
januari,1
97,1
dengu,3
current,1
hour,1
control,1
24,1
capit,1
director,1
till,1
540,1
friday,1
peopl,1
relat,1
8,1
receiv,1
unb,1
differ,2
across,1
251,1
institut,1
dhaka,1
includ,1
diseas,1
undergo,1
treatment,1
seven,1
fifti,1
sinc,1
epidemiolog,1
gener,1
servic,1
760,1
00am,1
death,1
said,1
updat,1
research,1
regular,1
319,1
admit,1
149,1
health,1
report,2
last,1
